date	2018	2019	2020
2020-12-01	2914672	3193266	4082168
2020-12-02	3252031	3281168	3844330
2020-12-03	3398663	3460136	3603899
2020-12-04	3201416	3457006	3391471
2020-12-05	3145485	3090194	3243220
2020-12-06	3301492	2996738	3678339
2020-12-07	3186114	2989073	3812513
2020-12-08	3214474	3131312	3729300
2020-12-09	3423785	3479158	3543099
2020-12-10	3254458	3468070	3858580
2020-12-11	3286070	3465405	3441316
2020-12-12	3393673	3171023	3265003
2020-12-13	3300768	2913945	3718917
2020-12-14	2956160	3022626	3523073
2020-12-15	3041216	3546959	3440408
2020-12-16	3331467	3347273	3455207
2020-12-17	3340866	3131692	3262843
2020-12-18	3343804	3044191	3063891
2020-12-19	3141127	2692758	2893628
2020-12-20	2907795	2364531	3351308
2020-12-21	2639526	2581726	2975948
2020-12-22	2736456	2710176	2915514
2020-12-23	2712882	2641775	2692759
2020-12-24	2695799	2581478	2866375
2020-12-25	3320855	3228301	3319619
2020-12-26	3247123	3100612	3355453
2020-12-27	3055383	2905857	3405288
2020-12-28	3023333	3288338	3370703
2020-12-29	3180814	3528621	3336753
2020-12-30	3410756	3244038	3412114
2020-12-31	3033088	3100201	3275559
