date	2017	2018	2019	2020
2020-11-16	1998832	2503224	2242102	3331521
2020-11-17	2057028	2140302	2795542	3072055
2020-11-18	2101822	2400658	2733553	3352585
2020-11-19	2512381	2423571	2690656	3464968
2020-11-20	2553460	2432273	2598693	3148918
2020-11-21	2479509	2435211	2505256	2689273
2020-11-22	2371921	2379682	2285416	3045131
2020-11-23	2242057	2004625	2356408	3401388
2020-11-24	1961180	2031566	2783371	3348773
2020-11-25	2046471	2388352	2709260	3285908
2020-11-26	2417129	2428792	2626620	3185451
2020-11-27	2398611	2423505	2548770	2883951
2020-11-28	2518948	2355405	2431502	2532176
2020-11-29	2387486	2330859	2143570	2942656
2020-11-30	2200480	1997297	2178153	2977773
2020-12-01	1895093	1953361	2494659	2829842
2020-12-02	1908329	2347416	2506438	2743057
2020-12-03	2291519	2372751	2513664	2545939
2020-12-04	2329636	2346566	2441653	2308212
2020-12-05	2678905	2278406	2304832	2144956
2020-12-06	2878875	2262478	2135577	2576729
2020-12-07	2201952	2004891	2089204	2611114
2020-12-08	1943279	1994863	2462924	2652028
2020-12-09	1981244	2430523	2554939	2574525
2020-12-10	2320310	2424725	2544183	2572458
2020-12-11	2383762	2336418	2428844	2294186
2020-12-12	2311474	2278935	2331370	2194758
2020-12-13	2269440	2196198	2104166	2640498
2020-12-14	2152395	1913267	2103892	2569103
2020-12-15	1919948	1950243	2458149	2554216
2020-12-16	1957812	2257065	2413095	2452621
2020-12-17	2395442	2250009	2331938	2382997
2020-12-18	2244242	2123544	2221177	2175698
2020-12-19	2123095	2004040	1961446	2073381
2020-12-20	1957811	1799129	1594242	2315020
2020-12-21	1728285	1658335	1682283	2088513
2020-12-22	1515531	1714440	1835040	1986814
2020-12-23	1608310	1866289	1704946	1815428
2020-12-24	1626430	1894322	1649265	1934251
2020-12-25	2043740	2208114	2221220	2458131
2020-12-26	2164455	2212244	2273570	2523191
2020-12-27	2056128	2033709	2126758	2465258
2020-12-28	2081098	2114645	2454122	2523957
2020-12-29	2054489	2206392	2675648	2508872
2020-12-30	2165184	2424358	2255930	2471770
2020-12-31	2250642	2149800	2263332	2437304
